TIME,X error,Y error,X,Y
2.527724504470825,0,-1,211,238
2.5596230030059814,0,0,211,237
2.5914266109466553,-1,1,212,236
2.639441967010498,-1,1,212,236
2.6722562313079834,-1,1,212,236
2.703864097595215,0,2,211,235
2.736341953277588,0,2,211,235
2.767542600631714,5,10,206,227
2.799449920654297,15,24,196,213
2.831413984298706,28,43,183,194
2.864265203475952,43,64,168,173
2.8961799144744873,58,86,153,151
2.927433967590332,73,105,138,132
2.9600682258605957,84,121,127,116
2.991442918777466,98,137,113,100
3.039818048477173,111,154,100,83
3.0720670223236084,122,172,89,65
3.103433132171631,135,189,76,48
3.136056900024414,147,207,64,30
3.1680097579956055,157,216,54,21
3.199509382247925,165,216,46,21
3.2314507961273193,173,216,38,21
3.264122486114502,180,215,31,22
3.2960903644561768,185,213,26,24
3.327573537826538,188,211,23,26
3.3592727184295654,191,207,20,30
3.391603946685791,193,200,18,37
3.4394779205322266,193,192,18,45
3.472045421600342,193,182,18,55
3.504225492477417,192,172,19,65
3.5356814861297607,189,162,22,75
3.568185567855835,187,149,24,88
3.5993900299072266,182,137,29,100
3.631542444229126,175,123,36,114
3.6641082763671875,165,109,46,128
3.696119785308838,156,95,55,142
3.728050708770752,145,80,66,157
3.7599213123321533,132,65,79,172
3.791980266571045,118,50,93,187
3.8393068313598633,103,35,108,202
3.8722996711730957,86,21,125,216
3.9042088985443115,69,6,142,231
3.9359922409057617,52,-7,159,244
3.9679644107818604,34,-21,177,258
3.9996707439422607,15,-34,196,271
4.031639575958252,-3,-46,214,283
4.0633440017700195,-23,-58,234,295
4.095719814300537,-43,-69,254,306
4.12759256362915,-62,-80,273,317
4.159734010696411,-81,-91,292,328
4.192018508911133,-99,-101,310,338
4.240113973617554,-116,-111,327,348
4.272247314453125,-132,-120,343,357
4.303889274597168,-148,-127,359,364
4.336386203765869,-162,-134,373,371
4.368222236633301,-178,-138,389,375
4.3996734619140625,-193,-142,404,379
4.432172536849976,-203,-146,414,383
4.463672876358032,-209,-148,420,385
4.495456695556641,-212,-149,423,386
4.5279529094696045,-211,-149,422,386
4.5593085289001465,-210,-148,421,385
4.591827630996704,-208,-146,419,383
4.639955520629883,-206,-144,417,381
4.671743869781494,-203,-142,414,379
4.704278230667114,-200,-138,411,375
4.736307382583618,-196,-135,407,372
4.768291473388672,-190,-131,401,368
4.7999866008758545,-185,-127,396,364
4.831773519515991,-179,-121,390,358
4.8633928298950195,-173,-115,384,352
4.895803689956665,-166,-108,377,345
4.9273903369903564,-160,-101,371,338
4.959272861480713,-152,-93,363,330
4.992269515991211,-142,-85,353,322
5.039531946182251,-134,-78,345,315
5.071905851364136,-125,-70,336,307
5.10395359992981,-115,-62,326,299
5.1362550258636475,-106,-55,317,292
5.1674888134002686,-95,-49,306,286
5.200270414352417,-84,-43,295,280
5.232305288314819,-73,-37,284,274
5.264141798019409,-61,-32,272,269
5.296201467514038,-51,-28,262,265
5.327323913574219,-40,-23,251,260
5.360140800476074,-30,-19,241,256
5.3921308517456055,-20,-15,231,252
5.44031834602356,-11,-12,222,249
5.471474647521973,-2,-9,213,246
5.504217624664307,6,-5,205,242
5.536074161529541,13,-4,198,241
5.5673887729644775,18,-2,193,239
5.600250482559204,23,-2,188,239
5.6316564083099365,26,-2,185,239
5.6640543937683105,27,-3,184,240
5.6957972049713135,27,-4,184,241
5.727471828460693,25,-5,186,242
5.7597174644470215,21,-6,190,243
5.792170524597168,17,-6,194,243
5.83936882019043,11,-7,200,244
5.8722522258758545,6,-9,205,246
5.903598308563232,-2,-11,213,248
5.935525178909302,-10,-12,221,249
5.968326807022095,-17,-14,228,251
5.9998931884765625,-24,-17,235,254
6.0316712856292725,-30,-19,241,256
6.063485383987427,-36,-21,247,258
6.096224546432495,-42,-23,253,260
6.128017902374268,-47,-25,258,262
6.159537315368652,-51,-26,262,263
6.192228317260742,-55,-26,266,263
6.239546298980713,-58,-26,269,263
6.272265911102295,-60,-26,271,263
6.303410291671753,-62,-25,273,262
6.335797309875488,-63,-24,274,261
6.368026256561279,-62,-23,273,260
6.399625301361084,-61,-22,272,259
6.431488275527954,-60,-21,271,258
6.464282512664795,-59,-19,270,256
6.495415687561035,-57,-17,268,254
6.527807712554932,-54,-15,265,252
6.559735059738159,-52,-14,263,251
6.591736555099487,-49,-12,260,249
6.639616012573242,-46,-10,257,247
6.672320365905762,-42,-8,253,245
6.7040228843688965,-39,-7,250,244
6.735610246658325,-37,-5,248,242
6.767617225646973,-34,-3,245,240
6.800100326538086,-31,-2,242,239
6.83144211769104,-29,-1,240,238
6.864094018936157,-26,0,237,237
6.896194934844971,-24,1,235,236
6.927842378616333,-23,2,234,235
6.960017204284668,-21,3,232,234
6.9921345710754395,-20,3,231,234
7.039329290390015,-18,4,229,233
7.0719475746154785,-16,4,227,233
7.104395389556885,-13,4,224,233
7.136331081390381,-11,4,222,233
7.167392730712891,-9,4,220,233
7.200107097625732,-7,3,218,234
7.231931686401367,-5,2,216,235
7.264282464981079,-3,0,214,237
7.29584813117981,-2,-1,213,238
7.327527284622192,0,-2,211,239
7.35950231552124,1,-3,210,240
7.391375303268433,1,-4,210,241
7.45498251914978,1,-5,210,242
7.472105026245117,1,-5,210,242
7.503952264785767,0,-5,211,242
7.5358381271362305,0,-5,211,242
7.567761421203613,0,-4,211,241
7.599689483642578,0,-4,211,241
7.63135838508606,1,-3,210,240
7.664500713348389,1,-2,210,239
7.69531512260437,1,-3,210,240
7.728278398513794,1,-2,210,239
7.759905576705933,1,-3,210,240
7.791630506515503,0,-3,211,240
7.8393473625183105,1,-3,210,240
7.8716864585876465,0,-4,211,241
7.904025316238403,1,-3,210,240
7.9356701374053955,0,-4,211,241
7.967344284057617,0,-3,211,240
8.000019311904907,1,-3,210,240
8.031527757644653,1,-4,210,241
8.063769340515137,1,-3,210,240
8.09580683708191,2,-3,209,240
8.127536535263062,2,-3,209,240
8.159504890441895,1,-3,210,240
8.192224979400635,1,-3,210,240
8.23965048789978,1,-2,210,239
8.271479606628418,0,-3,211,240
8.304292917251587,0,-3,211,240
8.335635423660278,1,-2,210,239
8.367689609527588,1,-2,210,239
8.399697542190552,0,-2,211,239
8.431629419326782,0,-2,211,239
8.463804483413696,1,-2,210,239
8.495732545852661,1,-3,210,240
8.527840852737427,0,-3,211,240
8.559941053390503,0,-3,211,240
8.592391967773438,1,-3,210,240
